Time (s),Laps (#),Speed (m/s),Gear (#),Brake (%),Throttle (%),SteeringAngle (rad)
1588.283308918313,14,0,0,1.0,0.0,-0.10253924876451492
1588.3166422516463,14,0,0,1.0,0.0,-0.10253924876451492
1588.3499755849796,14,0,0,1.0,0.0,-0.10253924876451492
1588.3833089183129,14,0,0,1.0,0.0,-0.10253924876451492
1588.4166422516462,14,0,0,1.0,0.0,-0.10253924876451492
1588.4499755849795,14,0,0,1.0,0.0,-0.10253924876451492
1588.4833089183128,14,0,0,1.0,0.0,-0.10253924876451492
1588.4999755849794,14,0,0,1.0,0.0,-0.10253924876451492
1588.5333089183127,14,0,0,1.0,0.0,-0.10253924876451492
1588.566642251646,14,0,0,1.0,0.0,-0.10253924876451492
1588.5999755849793,14,0,0,1.0,0.0,-0.10253924876451492
1588.6333089183127,14,0,0,1.0,0.0,-0.10253924876451492
1588.666642251646,14,0,0,1.0,0.0,-0.10253924876451492
1588.6999755849793,14,0,0,1.0,0.0,-0.10253924876451492
1588.716642251646,14,0,0,1.0,0.0,-0.10253924876451492
1588.7499755849792,14,0,0,1.0,0.0,-0.10253924876451492
1588.7833089183125,14,0,0,1.0,0.0,-0.10253924876451492
1588.8166422516458,14,0,0,1.0,0.0,-0.10253924876451492
1588.8499755849791,14,0,0,1.0,0.0,-0.10253924876451492
1588.8833089183124,14,0,0,1.0,0.0,-0.10253924876451492
1588.9166422516457,14,0,0,1.0,0.0,-0.10253924876451492
1588.949975584979,14,0,0,1.0,0.0,-0.10253924876451492
1588.9833089183123,14,0,0,1.0,0.0,-0.10253924876451492
1589.0166422516456,14,0,0,1.0,0.0,-0.10253924876451492
1589.049975584979,14,0,0,1.0,0.0,-0.10253924876451492
1589.0833089183122,14,0,0,1.0,0.0,-0.10253924876451492
1589.099975584979,14,0,0,1.0,0.0,-0.10253924876451492
1589.1499755849788,14,0,0,1.0,0.0,-0.10253924876451492
1589.1833089183122,14,0,0,1.0,0.0,-0.10253924876451492
1589.1999755849788,14,0,0,1.0,0.0,-0.10253924876451492
1589.233308918312,14,0,0,1.0,0.0,-0.10253924876451492
1589.283308918312,14,0,0,1.0,0.0,-0.10253924876451492
1589.3166422516454,14,0,0,1.0,0.0,-0.10253924876451492
1589.3499755849787,14,0,0,1.0,0.0,-0.10253924876451492
1589.383308918312,14,0,0,1.0,0.0,-0.10253924876451492
1589.4166422516453,14,0,0,1.0,0.0,-0.10253924876451492
1589.4499755849786,14,0,0,1.0,0.0,-0.10253924876451492
1589.4833089183119,14,0,0,1.0,0.0,-0.10253924876451492
1589.5166422516452,14,0,0,1.0,0.0,-0.10253924876451492
1589.5333089183118,14,0,0,1.0,0.0,-0.10253924876451492
1589.5666422516451,14,0,0,1.0,0.0,-0.10253924876451492
1589.5999755849784,14,0,0,1.0,0.0,-0.10253924876451492
1589.6333089183117,14,0,0,1.0,0.0,-0.10253924876451492
1589.6499755849784,14,0,0,1.0,0.0,-0.10253924876451492
1589.6833089183117,14,0,0,1.0,0.0,-0.10253924876451492
1589.7333089183116,14,0,0,1.0,0.0,-0.10253924876451492
1589.766642251645,14,0,0,1.0,0.0,-0.10253924876451492
1589.7999755849783,14,0,0,1.0,0.0,-0.10253924876451492
1589.8333089183116,14,0,0,1.0,0.0,-0.10253924876451492
1589.8499755849782,14,0,0,1.0,0.0,-0.10253924876451492
1589.8833089183115,14,0,0,1.0,0.0,-0.10253924876451492
1589.9166422516448,14,0,0,1.0,0.0,-0.10253924876451492
1589.9499755849781,14,0,0,1.0,0.0,-0.10253924876451492
1589.9833089183114,14,0,0,1.0,0.0,-0.10253924876451492
1590.0166422516447,14,0,0,1.0,0.0,-0.10253924876451492
1590.049975584978,14,0,0,1.0,0.0,-0.10253924876451492
1590.0833089183113,14,0,0,1.0,0.0,-0.10253924876451492
1590.1166422516446,14,0,0,1.0,0.0,-0.10253924876451492
1590.149975584978,14,0,0,1.0,0.0,-0.10253924876451492
1590.1833089183112,14,0,0,1.0,0.0,-0.10253924876451492
1590.2166422516445,14,0,0,1.0,0.0,-0.10253924876451492
1590.2333089183112,14,0,0,1.0,0.0,-0.10253924876451492
1590.2666422516445,14,0,0,1.0,0.0,-0.10253924876451492
1590.2999755849778,14,0,0,1.0,0.0,-0.10253924876451492
1590.333308918311,14,0,0,1.0,0.0,-0.10253924876451492
1590.3666422516444,14,0,0,1.0,0.0,-0.10253924876451492
1590.3999755849777,14,0,0,1.0,0.0,-0.10253924876451492
1590.433308918311,14,0,0,1.0,0.0,-0.10253924876451492
1590.4666422516443,14,0,0,1.0,0.0,-0.10253924876451492
1590.4999755849776,14,0,0,1.0,0.0,-0.10253924876451492
1590.5166422516443,14,0,0,1.0,0.0,-0.10253924876451492
1590.5499755849776,14,0,0,1.0,0.0,-0.10253924876451492
1590.5833089183109,14,0,0,1.0,0.0,-0.10253924876451492
1590.6166422516442,14,0,0,1.0,0.0,-0.10253924876451492
1590.6499755849775,14,0,0,1.0,0.0,-0.10253924876451492
1590.6833089183108,14,0,0,1.0,0.0,-0.10253924876451492
1590.716642251644,14,0,0,1.0,0.0,-0.10253924876451492
1590.7499755849774,14,0,0,1.0,0.0,-0.10253924876451492
1590.7833089183107,14,0,0,1.0,0.0,-0.10253924876451492
1590.816642251644,14,0,0,1.0,0.0,-0.10253924876451492
1590.8333089183106,14,0,0,1.0,0.0,-0.10253924876451492
1590.866642251644,14,0,0,1.0,0.0,-0.10253924876451492
1590.8999755849773,14,0,0,1.0,0.0,-0.10253924876451492
1590.9333089183106,14,0,0,1.0,0.0,-0.10253924876451492
1590.9666422516439,14,0,0,1.0,0.0,-0.10253924876451492
1590.9999755849772,14,0,0,1.0,0.0,-0.10253924876451492
1591.0333089183105,14,0,0,1.0,0.0,-0.10253924876451492
1591.0666422516438,14,0,0,1.0,0.0,-0.10253924876451492
1591.099975584977,14,0,0,1.0,0.0,-0.10253924876451492
1591.1333089183104,14,0,0,1.0,0.0,-0.10253924876451492
1591.1666422516437,14,0,0,1.0,0.0,-0.10253924876451492
1591.1833089183103,14,0,0,1.0,0.0,-0.10253924876451492
1591.2166422516436,14,0,0,1.0,0.0,-0.10253924876451492
1591.249975584977,14,0,0,1.0,0.0,-0.10253924876451492
1591.2833089183102,14,0,0,1.0,0.011857748962938786,-0.10253924876451492
1591.3166422516435,14,0,0,1.0,0.06719368696212769,-0.10253924876451492
1591.3499755849768,14,0,0,1.0,0.22924908995628357,-0.10253924876451492
1591.3833089183101,14,0,0,1.0,0.5256917476654053,-0.10253924876451492
1591.4166422516435,14,0,0,1.0,0.8260868787765503,-0.09649302065372467
1591.43330891831,14,0,0,1.0,0.9920949935913086,-0.08827051520347595
1591.4666422516434,14,0,0,1.0,1.0,-0.07738911360502243
1591.4999755849767,14,0,0,1.0,1.0,-0.07859745621681213
1591.53330891831,14,0,0,1.0,1.0,-0.07859743386507034
1591.5666422516433,14,0,0,1.0,1.0,-0.07859743386507034
1591.5999755849766,14,0,0,1.0,1.0,-0.07738912105560303
1591.6166422516433,14,0,0,1.0,1.0,-0.07738912105560303
1591.6666422516432,14,0,0,1.0,1.0,-0.07738912105560303
1591.6999755849765,14,0,0,1.0,1.0,-0.07738912105560303
1591.7166422516432,14,0,0,1.0,1.0,-0.07738912105560303
1591.7499755849765,14,0,0,1.0,1.0,-0.07738912105560303
1591.7833089183098,14,0,0,1.0,1.0,-0.07738912105560303
1591.816642251643,14,0,0,1.0,1.0,-0.07738912105560303
1591.8499755849764,14,0,0,1.0,1.0,-0.07859745621681213
1591.8833089183097,14,0,0,1.0,1.0,-0.07932315766811371
