Time (s),Laps (#),Speed (m/s),Gear (#),Brake (%),Throttle (%),SteeringAngle (rad)
1030.349971516911,7,0,0,1.0,0.0,0.027812723070383072
1030.3833048502443,7,0,0,1.0,0.0,0.027812723070383072
1030.399971516911,7,0,0,1.0,0.0,0.027812723070383072
1030.4499715169109,7,0,0,1.0,0.0,0.027812723070383072
1030.4666381835775,7,0,0,1.0,0.0,0.027812723070383072
1030.4999715169108,7,0,0,1.0,0.0,0.027812723070383072
1030.5333048502441,7,0,0,1.0,0.0,0.027812723070383072
1030.5666381835774,7,0,0,1.0,0.0,0.027812723070383072
1030.5999715169107,7,0,0,1.0,0.0,0.027812723070383072
1030.633304850244,7,0,0,1.0,0.0,0.027812723070383072
1030.6666381835773,7,0,0,1.0,0.0,0.027812723070383072
1030.6999715169106,7,0,0,1.0,0.0,0.027812723070383072
1030.733304850244,7,0,0,1.0,0.0,0.027812723070383072
1030.7499715169106,7,0,0,1.0,0.0,0.027812723070383072
1030.783304850244,7,0,0,1.0,0.0,0.027812723070383072
1030.8166381835772,7,0,0,1.0,0.0,0.027812723070383072
1030.8499715169105,7,0,0,1.0,0.0,0.027812723070383072
1030.8833048502438,7,0,0,1.0,0.0,0.027812723070383072
1030.916638183577,7,0,0,1.0,0.0,0.027812723070383072
1030.9499715169104,7,0,0,1.0,0.0,0.027812723070383072
1030.9833048502437,7,0,0,1.0,0.0,0.027812723070383072
1030.9999715169104,7,0,0,1.0,0.0,0.027812723070383072
1031.0333048502437,7,0,0,1.0,0.0,0.027812723070383072
1031.066638183577,7,0,0,1.0,0.0,0.027812723070383072
1031.0999715169103,7,0,0,1.0,0.0,0.027812723070383072
1031.1333048502436,7,0,0,1.0,0.0,0.027812723070383072
1031.1666381835769,7,0,0,1.0,0.0,0.027812723070383072
1031.1833048502435,7,0,0,1.0,0.0,0.027812723070383072
1031.2166381835768,7,0,0,1.0,0.0,0.027812723070383072
1031.2499715169101,7,0,0,1.0,0.0,0.027812723070383072
1031.2833048502434,7,0,0,1.0,0.0,0.027812723070383072
1031.3166381835767,7,0,0,1.0,0.0,0.027812723070383072
1031.34997151691,7,0,0,1.0,0.0,0.027812723070383072
1031.3666381835767,7,0,0,1.0,0.0,0.027812723070383072
1031.39997151691,7,0,0,1.0,0.0,0.027812723070383072
1031.44997151691,7,0,0,1.0,0.0,0.027812723070383072
1031.4833048502433,7,0,0,1.0,0.0,0.027812723070383072
1031.5166381835766,7,0,0,1.0,0.0,0.027812723070383072
1031.5333048502432,7,0,0,1.0,0.0,0.027812723070383072
1031.5666381835765,7,0,0,1.0,0.0,0.027812723070383072
1031.5999715169098,7,0,0,1.0,0.0,0.027812723070383072
1031.6333048502431,7,0,0,1.0,0.0,0.027812723070383072
1031.6666381835764,7,0,0,1.0,0.0,0.027812723070383072
1031.6999715169097,7,0,0,1.0,0.0,0.027812723070383072
1031.733304850243,7,0,0,1.0,0.0,0.027812723070383072
1031.783304850243,7,0,0,1.0,0.0,0.027812723070383072
1031.8166381835763,7,0,0,1.0,0.0,0.027812723070383072
1031.833304850243,7,0,0,1.0,0.0,0.027812723070383072
1031.8666381835762,7,0,0,1.0,0.0,0.027812723070383072
1031.8999715169095,7,0,0,1.0,0.0,0.027812723070383072
1031.9333048502428,7,0,0,1.0,0.0,0.027812723070383072
1031.9666381835762,7,0,0,1.0,0.0,0.027812723070383072
1031.9999715169095,7,0,0,1.0,0.0,0.027812723070383072
1032.0333048502428,7,0,0,1.0,0.0,0.027812723070383072
1032.066638183576,7,0,0,1.0,0.0,0.027812723070383072
1032.0833048502427,7,0,0,1.0,0.0,0.027812723070383072
1032.116638183576,7,0,0,1.0,0.0,0.027812723070383072
1032.1333048502427,7,0,0,1.0,0.0,0.027812723070383072
1032.166638183576,7,0,0,1.0,0.0,0.027812723070383072
1032.1999715169093,7,0,0,1.0,0.0,0.02757049910724163
1032.2333048502426,7,0,0,1.0,0.0,0.02757049910724163
1032.2666381835759,7,0,0,1.0,0.0,0.02757049910724163
1032.2999715169092,7,0,0,1.0,0.0,0.02757049910724163
1032.3333048502425,7,0,0,1.0,0.0,0.02757049910724163
1032.3666381835758,7,0,0,1.0,0.0,0.02757049910724163
1032.399971516909,7,0,0,1.0,0.0,0.02757049910724163
1032.4166381835757,7,0,0,1.0,0.0,0.02757049910724163
1032.449971516909,7,0,0,1.0,0.0,0.02757049910724163
1032.4833048502423,7,0,0,1.0,0.0,0.027812723070383072
1032.5166381835757,7,0,0,1.0,0.0,0.027812723070383072
